Test ID,Scenario,Run,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
1,1,1,Min 00,-68,65,-95,MCS7,57.2,0.796053,-67,65,-95,MCS7,54.1,0.854979,27.85,650.9828571429,938.48,210.7285787392,0
2,1,1,Min 01,-68,65,-95,MCS7,57.2,0.901944,-68,65,-95,MCS7,48.3,0.855371,596.55,757.801106383,953.56,39.2509092895,0
3,1,1,Min 02,-70,58.5,-95,MCS6,49.8,0.892914,-69,65,-95,MCS7,46.8,0.839453,508.71,849.6631111111,1163.98,88.1123754462,0
4,1,1,Min 03,-66,65,-95,MCS7,56.9,0.886099,-69,65,-95,MCS7,48.9,0.83204,482.66,755.3820210526,981.19,45.8637738815,0
5,1,1,Min 04,-68,65,-95,MCS7,56.9,0.890595,-68,65,-95,MCS7,50,0.833117,421.89,752.1541086957,1014.32,63.5888216375,0
6,1,1,Min 05,-68,65,-95,MCS7,56.9,0.894128,-67,65,-95,MCS7,54.1,0.833645,670.6,759.6446794872,895.89,34.947784636,0
7,1,1,Min 06,-67,65,-95,MCS7,56.9,0.894751,-68,65,-95,MCS7,48.9,0.841355,645.79,755.2041115702,962.38,40.5598604686,0
8,1,1,Min 07,-68,65,-95,MCS7,56.9,0.896314,-67,65,-95,MCS7,49.5,0.841448,658.92,774.9016877637,1310.65,74.1918104146,0
9,1,1,Min 08,-72,58.5,-95,MCS6,44.5,0.879645,-68,58.5,-95,MCS7,43.7,0.83996,532.55,987.5372515856,1386.11,119.3849834441,0
10,1,1,Min 09,-67,65,-95,MCS7,46.8,0.877138,-68,65,-95,MCS7,54.1,0.829376,678,756.4109390863,850.7,32.236174621,0
11,2,1,Min 00,-66,65,-95,MCS7,57.2,0.90768,-69,65,-95,MCS7,49.8,0.841058,1.5,633.6991235955,903.94,237.6083531916,0.08
12,2,1,Min 01,-68,65,-95,MCS7,56.9,0.902869,-66,65,-95,MCS7,54.1,0.840765,675.95,760.5241004184,862.12,34.7421015184,0
13,2,1,Min 02,-74,52,-95,MCS5,39.2,0.838055,-73,52,-95,MCS5,34.3,0.762808,639.66,1145.3970042194,1687.27,104.174150749,0
14,2,1,Min 03,-67,65,-95,MCS7,56.9,0.837858,-67,65,-95,MCS7,54.1,0.859444,649.03,756.3220638298,1093.42,45.2695096134,0
15,2,1,Min 04,-67,65,-95,MCS7,56.9,0.897681,-68,65,-95,MCS7,54.9,0.868622,654.88,753.851352459,848.17,33.4787874762,0
16,2,1,Min 05,-66,65,-95,MCS7,56.9,0.899038,-67,65,-95,MCS7,53.4,0.762609,669.36,759.3483410138,865.98,34.0216704525,0
17,2,1,Min 06,-68,65,-95,MCS7,57.2,0.898952,-67,65,-95,MCS7,54,0.875731,666.88,753.3829707113,872.94,33.9095544163,0
18,2,1,Min 07,-67,65,-95,MCS7,56.9,0.899294,-67,65,-95,MCS7,51.8,0.876848,352.16,793.8350408163,2379.41,204.4377597488,0.12
19,2,1,Min 08,-76,39,-95,MCS4,33.2,0.89945,-75,39,-95,MCS4,27.6,0.721722,694.99,1369.2568089431,1919.46,212.4428023447,0.01
20,2,1,Min 09,-67,65,-95,MCS7,32.8,0.897737,-66,65,-95,MCS7,54.1,0.875825,650.91,755.729260274,844.41,33.1122467391,0
21,3,1,Min 00,-67,65,-95,MCS7,56.9,0.898662,-67,65,-95,MCS7,50.5,0.844852,1.5,626.3495512821,851.55,243.8993508076,0.12
22,3,1,Min 01,-67,65,-95,MCS7,56.9,0.896508,-66,65,-95,MCS7,54.1,0.872134,633.65,758.7911740891,948.57,35.4729139675,0
23,3,1,Min 02,-78,39,-95,MCS4,24.2,0.698944,-79,39,-95,MCS4,23.8,0.678729,746.05,1787.0179578947,2341.39,191.7494468416,0.01
24,3,1,Min 03,-67,65,-95,MCS7,56.9,0.699361,-67,65,-95,MCS7,44.4,0.875644,673.14,754.4522755741,1047.67,37.8817928741,0
25,3,1,Min 04,-68,65,-95,MCS7,57.2,0.896549,-65,65,-95,MCS7,54.1,0.877065,647.95,755.0012655602,844.66,33.3030973952,0
26,3,1,Min 05,-68,65,-95,MCS7,56.9,0.89692,-67,65,-95,MCS7,54.1,0.873944,330.94,756.3948739496,1145.8,54.2365099111,0
27,3,1,Min 06,-67,65,-95,MCS7,56.9,0.896824,-66,65,-95,MCS7,54.1,0.880838,676.96,755.3881681034,858.38,33.0034411327,0
28,3,1,Min 07,-67,65,-95,MCS7,56.9,0.896974,-67,65,-95,MCS7,54.1,0.880832,331.27,789.1774537037,3706.32,319.1707553901,0.24
29,3,1,Min 08,-81,19.5,-95,MCS2,16.7,0.89728,-83,26,-95,MCS3,14.6,0.721465,631.4,2295.2688396625,3052.53,581.4751090886,0
30,3,1,Min 09,-68,65,-95,MCS7,56.9,0.896359,-68,65,-95,MCS7,45.6,0.879939,667.53,757.6433150685,846.63,33.003533812,0
31,4,1,Min 00,-67,65,-95,MCS7,56.1,0.906135,-68,65,-95,MCS7,52.9,0.833044,1.42,644.9546259843,890.58,228.0582235198,0.11
32,4,1,Min 01,-69,65,-95,MCS7,56.6,0.902546,-66,65,-95,MCS7,54.1,0.850812,661.35,757.1941152263,853.95,34.8433082407,0
33,4,1,Min 02,-84,19.5,-95,MCS2,12,0.727598,-85,19.5,-95,MCS2,13.2,0.675832,555.44,3194.9871052632,4371.13,427.4774197142,0.33
34,4,1,Min 03,-67,65,-95,MCS7,56.7,0.72448,-67,65,-95,MCS7,50.2,0.866083,669.38,793.5479449153,2627.25,224.8879759162,0
35,4,1,Min 04,-67,65,-95,MCS7,56.9,0.900012,-67,65,-95,MCS7,48.8,0.872806,679.4,757.5468343816,859.27,31.7211289266,0
36,4,1,Min 05,-67,65,-95,MCS7,54.7,0.899721,-66,65,-95,MCS7,51.8,0.87323,662.84,760.2961158798,855.13,32.7375240945,0
37,4,1,Min 06,-68,65,-95,MCS7,56.9,0.899477,-67,65,-95,MCS7,54.1,0.87366,663.87,751.7913114754,835.78,32.2209364326,0
38,4,1,Min 07,-68,65,-95,MCS7,56.9,0.90028,-67,65,-95,MCS7,54.9,0.874995,672.64,781.6049543379,4576.78,283.9610796991,0
39,4,1,Min 08,-87,13,-95,MCS1,5.7,0.599763,-86,13,-95,MCS1,4.7,0.677083,561.91,3946.3532045455,6322.88,1363.0307644315,0.53
40,4,1,Min 09,-67,65,-95,MCS7,56.9,0.899552,-67,65,-95,MCS7,54.1,0.875218,664.39,756.0647088608,868.63,33.427705406,0
41,5,1,Min 00,-68,65,-95,MCS7,51.4,0.85122,-67,65,-95,MCS7,54.1,0.879237,21.14,661.5987130802,836.1,200.0560872796,0.09
42,5,1,Min 01,-67,65,-95,MCS7,55.9,0.896024,-66,65,-95,MCS7,54.1,0.881049,671.79,754.3331896552,850.23,31.9687774161,0
43,5,1,Min 02,-89,6.5,-95,MCS0,4.4,0.704651,-88,6.5,-95,MCS0,4.2,0.010417,153.98,4408.9546645368,12831.05,1916.906038701,1.74
44,5,1,Min 03,-67,65,-95,MCS7,56.3,0.852243,-66,65,-95,MCS7,25,0.877737,299.95,708.2812421053,850.23,95.9782590532,0
45,5,1,Min 04,-67,65,-95,MCS7,56.6,0.895124,-67,65,-95,MCS7,54.1,0.877753,670.03,754.6975669643,863.16,33.9806956965,0
46,5,1,Min 05,-67,65,-95,MCS7,56.6,0.895848,-67,65,-95,MCS7,54.1,0.878136,674.21,756.4353663793,851.36,32.8348524469,0
47,5,1,Min 06,-67,65,-95,MCS7,57.2,0.896381,-67,65,-95,MCS7,48.9,0.879273,667.99,752.0265360825,829.62,31.1953995016,0
48,5,1,Min 07,-67,65,-95,MCS7,54.1,0.897829,-67,65,-95,MCS7,51.2,0.880635,654.16,755.7914425428,856.88,33.2927961564,0
49,5,1,Min 08,-89,5.5,-95,5.5M,2.2,0.61365,-88,5.5,-95,5.5M,2.5,0.769621,103.17,2436.2234615385,10380.96,2505.6209145968,2.15
50,5,1,Min 09,-69,65,-95,MCS7,57.2,0.644748,-68,65,-95,MCS7,54.1,0.880753,609.47,727.741826484,821.92,47.7908041855,0
51,1,2,Min 00,-68,65,-95,MCS7,56.6,0.781609,-67,65,-95,MCS7,54.1,0.880663,1.5,656.8408,883.04,210.3415800999,0.13
52,1,2,Min 01,-68,65,-95,MCS7,57.2,0.902277,-67,65,-95,MCS7,55.6,0.874471,668.57,758.0172442589,962.27,35.7468466152,0
53,1,2,Min 02,-70,65,-95,MCS7,50.3,0.883819,-71,65,-95,MCS7,51.8,0.852072,453.28,859.1335254989,1224.85,104.3484024496,0
54,1,2,Min 03,-68,65,-95,MCS7,55.6,0.881104,-66,65,-95,MCS7,54.9,0.850692,640.09,753.2933479212,848.48,31.6974531133,0
55,1,2,Min 04,-67,65,-95,MCS7,56.9,0.886322,-67,65,-95,MCS7,52.1,0.844006,682.29,759.8713665944,864.43,32.5629947417,0
56,1,2,Min 05,-68,65,-95,MCS7,57.2,0.888352,-67,65,-95,MCS7,50.8,0.852614,663.51,752.5232150313,836.05,31.5906523412,0
57,1,2,Min 06,-67,65,-95,MCS7,56.9,0.891014,-66,65,-95,MCS7,54.1,0.869579,668.64,756.585619469,846.85,34.7720673081,0
58,1,2,Min 07,-68,65,-95,MCS7,54.9,0.892388,-67,65,-95,MCS7,54.1,0.872073,648.18,778.579844098,1141.83,76.153466014,0
59,1,2,Min 08,-71,58.5,-95,MCS6,44.4,0.8766,-72,58.5,-95,MCS6,46.5,0.815472,510.32,980.6846325167,1366.06,129.95261836,0
60,1,2,Min 09,-68,65,-95,MCS7,56.9,0.871988,-67,65,-95,MCS7,54.1,0.866802,679.9,757.6928648649,889.25,32.3322108808,0
61,2,2,Min 00,-67,65,-95,MCS7,56.9,0.895529,-67,65,-95,MCS7,54.1,0.871373,6.94,669.5919421488,856.6,190.3714543794,0.05
62,2,2,Min 01,-67,65,-95,MCS7,55.3,0.897611,-67,65,-95,MCS7,51.4,0.88143,516.77,758.3638157895,989.97,38.944979795,0
63,2,2,Min 02,-74,52,-95,MCS5,37.8,0.832893,-74,52,-95,MCS5,32.5,0.741405,730.26,1155.2341189427,1466.76,99.15643001,0
64,2,2,Min 03,-67,65,-95,MCS7,56.9,0.832184,-67,65,-95,MCS7,52.9,0.705017,682.24,756.9649787234,849.18,31.9819184005,0
65,2,2,Min 04,-67,65,-95,MCS7,56.9,0.894901,-67,65,-95,MCS7,54.1,0.735138,648.28,757.5205206074,845.43,33.5668419916,0
66,2,2,Min 05,-67,65,-95,MCS7,56.9,0.895383,-66,65,-95,MCS7,50.5,0.876476,672.74,755.7080513919,872.66,33.0228315388,0
67,2,2,Min 06,-66,65,-95,MCS7,57.2,0.895975,-66,65,-95,MCS7,54.1,0.878104,663.41,752.1794262295,863.58,31.1983346891,0
68,2,2,Min 07,-67,65,-95,MCS7,57.2,0.89687,-67,65,-95,MCS7,49.2,0.87939,629.84,810.9804008439,2471.28,223.8754299957,0
69,2,2,Min 08,-76,39,-95,MCS4,33.7,0.89683,-75,39,-95,MCS4,28.5,0.754312,700,1358.3970947369,1791.85,219.7084800653,0
70,2,2,Min 09,-67,65,-95,MCS7,56.9,0.89512,-67,65,-95,MCS7,45.9,0.877518,680.41,754.7767191601,884.19,33.3080409529,0
71,3,2,Min 00,-66,65,-95,MCS7,57.2,0.89673,-67,65,-95,MCS7,54.1,0.879114,1.5,655.7478899083,838.83,210.5144367212,0.09
72,3,2,Min 01,-67,65,-95,MCS7,56.9,0.901268,-67,65,-95,MCS7,48.3,0.887369,659.45,753.4801502146,840.1,34.4681748618,0
73,3,2,Min 02,-78,39,-95,MCS4,24.7,0.699175,-78,39,-95,MCS4,21.3,0.692874,550.89,1731.7517827869,2707.3,290.595893173,0.03
74,3,2,Min 03,-67,65,-95,MCS7,56.9,0.703308,-67,65,-95,MCS7,53.4,0.882451,678.53,757.6603671706,865.79,32.9957212501,0
75,3,2,Min 04,-67,65,-95,MCS7,56.9,0.895911,-67,65,-95,MCS7,54.1,0.882171,634.12,755.3069281046,845.83,31.9202037416,0
76,3,2,Min 05,-67,65,-95,MCS7,56.1,0.896603,-67,65,-95,MCS7,54.1,0.882334,663.54,758.5360465116,853.16,32.510360993,0
77,3,2,Min 06,-68,65,-95,MCS7,57.2,0.896865,-67,65,-95,MCS7,54.1,0.883109,645.8,748.4575298805,829.63,33.0654467503,0
78,3,2,Min 07,-68,65,-95,MCS7,53.1,0.897775,-67,65,-95,MCS7,54.9,0.884207,680.98,885.8226106195,3545.51,462.3135342744,0.01
79,3,2,Min 08,-82,26,-95,MCS3,16.7,0.725113,-82,26,-95,MCS3,19.5,0.26306,559.03,2269.826277666,3124.47,650.1655423475,0
80,3,2,Min 09,-68,65,-95,MCS7,56.9,0.713715,-67,65,-95,MCS7,52.9,0.882939,662.47,750.4823797468,858.15,34.2741558451,0
81,4,2,Min 00,-66,65,-95,MCS7,56.4,0.864105,-67,65,-95,MCS7,46.5,0.847913,1.62,655.7674008811,830.57,204.956534501,0.06
82,4,2,Min 01,-67,65,-95,MCS7,57.2,0.900156,-67,65,-95,MCS7,52.9,0.876697,658.84,755.1466170213,870.64,35.4851633702,0
83,4,2,Min 02,-85,19.5,-95,MCS2,13.8,0.735929,-84,19.5,-95,MCS2,14.3,0.680569,784.26,3099.0057268723,3975.14,369.4047877052,0
84,4,2,Min 03,-67,65,-95,MCS7,56.9,0.738606,-66,65,-95,MCS7,53.8,0.830889,674.18,754.1504803493,1138.08,43.0646937553,0
85,4,2,Min 04,-67,65,-95,MCS7,56.7,0.899699,-67,65,-95,MCS7,54.1,0.882586,658.11,753.5330736842,854.8,32.0290977415,0
86,4,2,Min 05,-67,65,-95,MCS7,56.9,0.899706,-65,65,-95,MCS7,54.1,0.859536,510.51,753.169202454,948.92,38.6225759443,0
87,4,2,Min 06,-68,65,-95,MCS7,56.9,0.899673,-67,65,-95,MCS7,54.1,0.884186,682.19,755.2980513919,844.72,30.5090289204,0
88,4,2,Min 07,-68,65,-95,MCS7,56.9,0.899585,-67,65,-95,MCS7,54.1,0.885133,662,753.5973636364,850.33,31.7054011366,0
89,4,2,Min 08,-86,6.5,-95,MCS0,5.6,0.877817,-85,13,-95,MCS1,4.8,0.714538,533.06,3927.607655914,9978.11,1696.579927477,0.88
90,4,2,Min 09,-67,65,-95,MCS7,56.9,0.899267,-67,65,-95,MCS7,54.1,0.883828,667.35,755.4797486034,863.16,35.0898049017,0
91,5,2,Min 00,-69,65,-95,MCS7,56.9,0.892936,-67,65,-95,MCS7,54.1,0.874104,1.58,657.4216901408,855.91,213.5140193327,0.06
92,5,2,Min 01,-68,65,-95,MCS7,56.9,0.896497,-67,65,-95,MCS7,54.1,0.883736,669.17,756.6023515982,847.69,33.8372002023,0
93,5,2,Min 02,-90,6.5,-95,MCS0,4.7,0.736776,-88,11,-95,11.0M,4.2,0.623789,717.91,6320.6341346154,14643.43,2955.8710543432,1.03
94,5,2,Min 03,-68,65,-95,MCS7,57.2,0.73139,-67,65,-95,MCS7,54.1,0.604896,327.12,829.3042239686,8540.8,860.1016471677,0.36
95,5,2,Min 04,-67,65,-95,MCS7,56.9,0.896285,-67,65,-95,MCS7,54.9,0.882743,661.24,753.1399784017,841.26,33.4326320106,0
96,5,2,Min 05,-68,65,-95,MCS7,57.2,0.896983,-65,65,-95,MCS7,52.9,0.883287,664.39,753.9366272189,855.53,34.0649490143,0
97,5,2,Min 06,-67,65,-95,MCS7,56.9,0.897369,-67,65,-95,MCS7,54.9,0.884103,629.56,755.5955130785,875.22,35.7965319941,0
98,5,2,Min 07,-67,65,-95,MCS7,55.3,0.897516,-67,65,-95,MCS7,54.1,0.884011,397.47,756.3028738318,1018,46.5137702544,0
99,5,2,Min 08,-90,5.5,-95,5.5M,2.4,0.606098,-90,5.5,-95,5.5M,2.7,0.774307,164.66,5435.7425258799,24607.22,4803.460856358,1.87
100,5,2,Min 09,-67,65,-95,MCS7,57.2,0.625383,-67,65,-95,MCS7,2.8,0.787059,590.75,737.1539013453,857.59,50.993001881,0
101,1,3,Min 00,-66,65,-95,MCS7,56.9,0.894959,-67,65,-95,MCS7,54.1,0.87786,1.51,637.0995258621,867.05,231.5830568594,0.1
102,1,3,Min 01,-68,65,-95,MCS7,56.9,0.899124,-66,65,-95,MCS7,54.9,0.886601,666.8,753.2587061404,860.95,33.5675918117,0
103,1,3,Min 02,-70,65,-95,MCS7,49.5,0.886127,-69,58.5,-95,MCS6,47.4,0.834668,369.45,855.4498423423,1264.61,90.7032549041,0
104,1,3,Min 03,-68,65,-95,MCS7,56.3,0.880889,-67,65,-95,MCS7,54.1,0.861334,652.62,754.0428111588,845.18,32.9195885506,0
105,1,3,Min 04,-67,65,-95,MCS7,57.2,0.885687,-67,65,-95,MCS7,54.1,0.868807,657.12,752.2190561798,869.42,32.0161388939,0
106,1,3,Min 05,-67,65,-95,MCS7,56.6,0.888948,-67,65,-95,MCS7,54.9,0.854235,651.54,755.7106290672,833.45,32.3017333879,0
107,1,3,Min 06,-69,65,-95,MCS7,56.9,0.890554,-67,65,-95,MCS7,52.9,0.874043,669.2,755.6256884876,873.81,33.7347809099,0
108,1,3,Min 07,-67,65,-95,MCS7,56.9,0.891742,-67,65,-95,MCS7,54.1,0.875747,651.51,773.2200214133,1249.88,74.9296445982,0
109,1,3,Min 08,-71,58.5,-95,MCS6,46.3,0.871887,-71,52,-95,MCS5,41.9,0.804997,686.68,990.6913406593,1542.01,114.6284988238,0
110,1,3,Min 09,-67,65,-95,MCS7,57.2,0.867435,-67,65,-95,MCS7,48.6,0.868582,613.64,755.0488481675,843.91,34.9486135526,0
111,2,3,Min 00,-68,65,-95,MCS7,56.7,0.899353,-67,65,-95,MCS7,54.1,0.880753,1.44,652.3484009547,842.09,220.397903783,0.09
112,2,3,Min 01,-68,65,-95,MCS7,56.9,0.898225,-67,65,-95,MCS7,54.9,0.876158,595.51,756.201,1041.93,41.1889761293,0
113,2,3,Min 02,-73,52,-95,MCS5,42.1,0.829556,-73,52,-95,MCS5,32.5,0.750271,744.77,1163.9038253638,1461.82,98.5290451215,0
114,2,3,Min 03,-67,65,-95,MCS7,56.3,0.827684,-67,65,-95,MCS7,54.9,0.867506,670.11,761.6678241758,923.3,35.4283885533,0
115,2,3,Min 04,-67,65,-95,MCS7,56.9,0.895085,-66,65,-95,MCS7,49.8,0.870673,674.51,756.7999339207,854.86,33.1531652995,0
116,2,3,Min 05,-67,65,-95,MCS7,56.9,0.895824,-66,65,-95,MCS7,50.3,0.872883,667.55,755.1031506849,861.39,33.1429122244,0
117,2,3,Min 06,-67,65,-95,MCS7,54.7,0.896477,-67,65,-95,MCS7,54,0.873946,671.69,758.493499044,856.67,32.0653750731,0
118,2,3,Min 07,-67,65,-95,MCS7,56.9,0.897068,-67,65,-95,MCS7,54,0.875563,578.56,803.8444635193,2377.41,214.7934835306,0.02
119,2,3,Min 08,-76,39,-95,MCS4,33.2,0.897402,-77,39,-95,MCS4,31.4,0.711427,699.78,1351.0654274354,2053.42,232.1417569766,0
120,2,3,Min 09,-67,65,-95,MCS7,56.9,0.895904,-66,65,-95,MCS7,48.8,0.87566,667.1,756.3373113208,849.36,32.0988939346,0
121,3,3,Min 00,-67,65,-95,MCS7,56.9,0.89673,-68,65,-95,MCS7,54.9,0.867065,1.26,625.9307834101,845.18,239.5235858437,0.07
122,3,3,Min 01,-68,65,-95,MCS7,56.9,0.899476,-67,65,-95,MCS7,49.8,0.880924,667.63,755.1381237911,837.03,32.7020445915,0
123,3,3,Min 02,-78,39,-95,MCS4,24.1,0.689442,-79,26,-95,MCS3,17.2,0.663977,696.39,1796.1698206278,2438.23,281.1133700583,0
124,3,3,Min 03,-67,65,-95,MCS7,24.2,0.6881,-68,65,-95,MCS7,54.1,0.878912,674.67,757.2991666667,850.9,32.9753582829,0
