Test ID,Scenario,Run,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
125,3,3,Min 04,-67,65,-95,MCS7,56.9,0.896767,-68,65,-95,MCS7,54.1,0.879215,661.45,756.397106383,853.42,34.6275441116,0
126,3,3,Min 05,-67,65,-95,MCS7,56.9,0.897468,-65,65,-95,MCS7,53.4,0.880779,668.13,756.1582463466,869.51,33.0449505182,0
127,3,3,Min 06,-67,65,-95,MCS7,56.9,0.897887,-67,65,-95,MCS7,53.1,0.881169,666.39,755.3281165049,850.11,33.2879875495,0
128,3,3,Min 07,-67,65,-95,MCS7,57.2,0.898025,-65,65,-95,MCS7,51.5,0.881632,432.55,817.5950790068,3856.72,350.6346101936,0.24
129,3,3,Min 08,-82,19.5,-95,MCS2,16.7,0.807251,-82,19.5,-95,MCS2,16.6,0.224961,679.33,2232.9976294821,3158.01,639.6989200676,0
130,3,3,Min 09,-68,65,-95,MCS7,57.2,0.897192,-67,65,-95,MCS7,54.1,0.879318,654.92,756.6364751958,862.89,36.6126822946,0
131,4,3,Min 00,-67,65,-95,MCS7,54.6,0.898275,-68,65,-95,MCS7,54.1,0.868434,1.52,638.081744186,871.22,227.1344895164,0.03
132,4,3,Min 01,-67,65,-95,MCS7,52.9,0.901525,-68,65,-95,MCS7,49.2,0.88062,676.09,758.351257732,872.96,33.7012521757,0
133,4,3,Min 02,-84,19.5,-95,MCS2,11.7,0.693857,-83,19.5,-95,MCS2,10,0.689216,691.14,2724.7012383178,3983.63,525.6329919757,0.23
134,4,3,Min 03,-67,65,-95,MCS7,12.9,0.719828,-67,65,-95,MCS7,9.1,0.784044,650.55,865.4044748858,3512.84,487.6057529357,0
135,4,3,Min 04,-67,65,-95,MCS7,56.7,0.897964,-68,65,-95,MCS7,54.9,0.877223,653.76,760.2554545455,868.4,33.8499081398,0
136,4,3,Min 05,-67,65,-95,MCS7,56.9,0.898187,-65,65,-95,MCS7,52.4,0.877447,653.92,755.3873036093,857.27,33.6907087079,0
137,4,3,Min 06,-67,65,-95,MCS7,56.9,0.898314,-65,65,-95,MCS7,50.8,0.878089,658.54,758.0738445378,869.57,34.4441197572,0
138,4,3,Min 07,-67,65,-95,MCS7,55,0.898523,-68,65,-95,MCS7,49.5,0.878404,673.41,756.9463452915,847.4,33.3359179076,0
139,4,3,Min 08,-87,6.5,-95,MCS0,5.6,0.810811,-87,13,-95,MCS1,5.1,0.713002,515.38,4707.3257708333,9434.64,2051.1400627281,0.49
140,4,3,Min 09,-67,65,-95,MCS7,56.9,0.89818,-87,65,-95,MCS7,8.2,0.686807,611.73,747.6638069705,828.37,32.5387459611,0
141,5,3,Min 00,-67,65,-95,MCS7,56.3,0.9017,-68,65,-95,MCS7,54.1,0.854208,1.42,632.1534161491,864.2,237.0611240965,0.12
142,5,3,Min 01,-67,65,-95,MCS7,53.8,0.897931,-66,65,-95,MCS7,54.9,0.882334,674.45,761.1687860082,851.76,33.7262161276,0
143,5,3,Min 02,-89,6.5,-95,MCS0,4.2,0.710337,-87,6.5,-95,MCS0,3.3,0.575472,743.69,7826.8089296636,15737.68,3115.4944419741,0.95
144,5,3,Min 03,-67,65,-95,MCS7,56.9,0.702171,-65,65,-95,MCS7,41.9,0.87989,293.64,923.8497924528,6215.78,806.9183406924,0
145,5,3,Min 04,-67,65,-95,MCS7,56.9,0.898473,-67,65,-95,MCS7,54.6,0.88017,669.19,758.0240909091,866.64,34.4894362166,0
146,5,3,Min 05,-68,65,-95,MCS7,56.9,0.89827,-66,65,-95,MCS7,52.9,0.880419,660.35,753.4217970402,837.78,32.1337126181,0
147,5,3,Min 06,-67,65,-95,MCS7,56.9,0.898302,-67,65,-95,MCS7,54.1,0.880445,650.8,756.2693453725,852.07,34.063429617,0
148,5,3,Min 07,-68,65,-95,MCS7,56.9,0.898357,-65,65,-95,MCS7,50.9,0.880611,665.34,756.3879115479,859.66,34.634154562,0
149,5,3,Min 08,-89,5.5,-95,5.5M,1.9,0.698379,-90,5.5,-95,5.5M,2.7,0.493333,306.55,9985.2340641711,28515.76,9609.0490233185,2.49
150,5,3,Min 09,-67,65,-95,MCS7,56.9,0.68195,-68,65,-95,MCS7,47.6,0.878999,488,633.3854681648,817.15,78.3222022807,0
151,1,4,Min 00,-67,65,-95,MCS7,57.2,0.898988,-67,65,-95,MCS7,48,0.839433,1.32,654.263793911,889.27,220.9297218874,0.09
152,1,4,Min 01,-67,65,-95,MCS7,56.6,0.900242,-67,65,-95,MCS7,54.9,0.841863,646.63,754.373059867,878.06,36.0444507471,0
153,1,4,Min 02,-68,58.5,-95,MCS6,48.9,0.892736,-68,65,-95,MCS7,48.9,0.84219,452.12,866.5347121535,1140.12,69.1130450673,0
154,1,4,Min 03,-68,65,-95,MCS7,56.9,0.886509,-67,65,-95,MCS7,54.1,0.839713,660.58,760.0078603604,850.73,34.4486812032,0
155,1,4,Min 04,-67,65,-95,MCS7,56.9,0.889723,-67,65,-95,MCS7,54.1,0.85089,669.61,757.6678993435,843.45,33.670743808,0
156,1,4,Min 05,-67,65,-95,MCS7,56.9,0.892041,-67,65,-95,MCS7,54.9,0.857816,657.83,758.7456118143,858.57,36.165949714,0
157,1,4,Min 06,-68,65,-95,MCS7,51.7,0.893791,-67,65,-95,MCS7,54.1,0.861446,678.49,762.0981415929,854.01,32.255832526,0
158,1,4,Min 07,-67,65,-95,MCS7,56.9,0.894153,-67,65,-95,MCS7,54.9,0.863159,670.42,781.8668141593,1194.39,79.2683924417,0
159,1,4,Min 08,-72,52,-95,MCS5,44.5,0.884442,-71,52,-95,MCS5,43.6,0.809134,301.13,1001.3319396552,1806.16,148.1087958651,0
160,1,4,Min 09,-69,65,-95,MCS7,56.9,0.87342,-65,65,-95,MCS7,54.1,0.857698,659.77,757.3991666667,882.96,34.2257225824,0
161,2,4,Min 00,-68,65,-95,MCS7,56.9,0.895691,-67,65,-95,MCS7,54.1,0.847377,1.62,654.9674444444,869.84,214.9935993991,0.15
162,2,4,Min 01,-67,65,-95,MCS7,56.9,0.899764,-68,65,-95,MCS7,51.8,0.869313,630.36,756.4757623318,905.27,35.9221100548,0
163,2,4,Min 02,-74,52,-95,MCS5,39,0.812123,-74,52,-95,MCS5,38.7,0.735139,727.86,1193.0324215247,1543.68,104.6485326063,0
164,2,4,Min 03,-67,65,-95,MCS7,56.9,0.814433,-65,65,-95,MCS7,54.1,0.742239,554.08,758.9982952183,861.39,36.1635395118,0
165,2,4,Min 04,-67,65,-95,MCS7,54.6,0.896443,-68,65,-95,MCS7,54.1,0.865166,665.14,759.816612529,884.87,34.0184475699,0
166,2,4,Min 05,-67,65,-95,MCS7,56.9,0.896177,-68,65,-95,MCS7,48.6,0.770344,553.15,756.4493563218,841.76,36.3332262749,0
167,2,4,Min 06,-67,65,-95,MCS7,56.9,0.896871,-67,65,-95,MCS7,51.2,0.871511,669.16,753.8827272727,852.07,33.9382907827,0
168,2,4,Min 07,-68,65,-95,MCS7,56.3,0.898109,-68,65,-95,MCS7,50.8,0.873837,552.6,781.8703694581,2343.39,163.1654758247,0.11
169,2,4,Min 08,-76,39,-95,MCS4,33.7,0.898177,-76,39,-95,MCS4,29.4,0.699704,651.74,1347.6571919192,1999.72,251.0902153861,0
170,2,4,Min 09,-68,65,-95,MCS7,56.9,0.896526,-68,65,-95,MCS7,54.9,0.74772,654.77,757.3369333333,955.14,37.1487316454,0
171,3,4,Min 00,-69,65,-95,MCS7,56.9,0.903743,-68,65,-95,MCS7,48,0.834238,1.61,664.1438461538,1032.22,209.0541305849,0.16
172,3,4,Min 01,-67,65,-95,MCS7,53.5,0.902355,-67,65,-95,MCS7,48.3,0.834878,668.81,758.2341008772,856.01,35.0102844549,0
173,3,4,Min 02,-79,26,-95,MCS3,22.4,0.610342,-79,39,-95,MCS4,23.1,0.677966,695.1,1979.1368763558,2461.18,193.3908329963,0
174,3,4,Min 03,-67,65,-95,MCS7,57.2,0.607019,-68,65,-95,MCS7,27.1,0.679245,657.92,765.4159221311,1486.97,82.7861321441,0
175,3,4,Min 04,-67,65,-95,MCS7,56.9,0.8982,-67,65,-95,MCS7,54.1,0.861587,678.3,763.1830866808,848.36,32.431055005,0
176,3,4,Min 05,-67,65,-95,MCS7,56.9,0.897421,-67,65,-95,MCS7,50.5,0.865323,674.11,756.3311136364,864.92,34.1912165008,0
177,3,4,Min 06,-67,65,-95,MCS7,56.9,0.897548,-67,65,-95,MCS7,54.1,0.867838,676.59,757.952787234,853.62,33.1739493171,0
178,3,4,Min 07,-67,65,-95,MCS7,56.9,0.898006,-65,65,-95,MCS7,54.1,0.87023,290.52,787.3979372197,3692.96,330.9762300371,0.27
179,3,4,Min 08,-82,19.5,-95,MCS2,16.7,0.897969,-82,19.5,-95,MCS2,16.1,0.726621,508.47,1892.5787056368,2972.92,756.5517636149,0
180,3,4,Min 09,-68,65,-95,MCS7,56.9,0.897008,-68,65,-95,MCS7,54.1,0.708926,690.2,761.813538874,853.98,32.555575717,0
181,4,4,Min 00,-66,65,-95,MCS7,56.9,0.896,-67,65,-95,MCS7,54.1,0.85046,1.54,659.058812095,1146.66,219.2486668006,0.09
182,4,4,Min 01,-67,65,-95,MCS7,56.9,0.900698,-67,65,-95,MCS7,54.9,0.87809,668.43,754.1992626728,841.39,33.8049199976,0
183,4,4,Min 02,-85,13,-95,MCS1,10.5,0.668687,-86,13,-95,MCS2,10.6,0.685576,643.2,3405.3715417559,4521.43,850.5426190721,0.04
184,4,4,Min 03,-68,65,-95,MCS7,56.9,0.897461,-68,65,-95,MCS7,50.6,0.874117,682.52,755.6636811024,847.29,32.1907778162,0
185,4,4,Min 04,-68,65,-95,MCS7,54.9,0.897136,-68,65,-95,MCS7,54.1,0.866825,685.09,758.5362385321,855.74,33.8843272487,0
186,4,4,Min 05,-67,65,-95,MCS7,56.9,0.897322,-68,65,-95,MCS7,54.1,0.87613,598.1,755.2577253219,895.62,35.3090245242,0
187,4,4,Min 06,-67,65,-95,MCS7,57.2,0.898081,-66,65,-95,MCS7,54.1,0.871963,522.38,759.0293873085,1013.62,47.3699588769,0
188,4,4,Min 07,-68,65,-95,MCS7,56.9,0.898987,-67,65,-95,MCS7,51.2,0.870354,471.1,1340.1775764706,8221.6,1662.2354823243,0.01
189,4,4,Min 08,-87,6.5,-95,MCS0,5.6,0.899503,-86,13,-95,MCS1,7.1,0.673836,481.07,5278.4627562642,8667.77,2330.8128023053,0.43
190,4,4,Min 09,-67,65,-95,MCS7,57.2,0.899102,-66,65,-95,MCS7,54.1,0.869966,678.37,752.8649726776,847.72,31.8943599837,0
191,5,4,Min 00,-68,65,-95,MCS7,35,0.889315,-67,65,-95,MCS7,54.1,0.880903,38.59,676.1185336049,858.46,194.0823777362,0.1
192,5,4,Min 01,-68,65,-95,MCS7,56.1,0.894294,-67,65,-95,MCS7,54.1,0.866429,638.51,757.9079084967,976.4,36.4604200177,0
193,5,4,Min 02,-88,5.5,-95,5.5M,3.5,0.856867,-88,11,-95,11.0M,3.6,0.550918,146.78,3663.127084399,13905.66,2766.617116099,0.72
194,5,4,Min 03,-67,65,-95,MCS7,56.9,0.868756,-67,65,-95,MCS7,54.3,0.868941,336.5,716.6598962656,841.46,84.1595704192,0
195,5,4,Min 04,-68,65,-95,MCS7,56.6,0.897368,-67,65,-95,MCS7,54.9,0.871212,681.98,761.1202922756,871.13,34.3992110763,0
196,5,4,Min 05,-68,65,-95,MCS7,54.4,0.897831,-66,65,-95,MCS7,54.9,0.871884,654.87,757.5945606695,852.63,34.7369054964,0
197,5,4,Min 06,-67,65,-95,MCS7,57.2,0.897429,-67,65,-95,MCS7,47.4,0.868667,620.74,754.3160731707,857.41,35.7692876838,0
198,5,4,Min 07,-68,65,-95,MCS7,56.9,0.898415,-67,65,-95,MCS7,51.2,0.869174,660.5,756.082,847.39,32.8384557566,0
199,5,4,Min 08,-88,5.5,-95,5.5M,1.8,0.74982,-90,5.5,-95,5.5M,2.5,0.820312,208.23,7372.2440669857,30988.05,9115.2741552406,1.9
200,5,4,Min 09,-68,65,-95,MCS7,56.9,0.737976,-66,65,-95,MCS7,49.2,0.865173,319.78,543.7510357143,803.03,94.2493395202,0
201,1,5,Min 00,-67,65,-95,MCS7,53.4,0.882677,-68,65,-95,MCS7,48.8,0.854502,1.63,656.3828444444,896.88,204.6266536368,0.06
202,1,5,Min 01,-68,65,-95,MCS7,56.9,0.900631,-68,65,-95,MCS7,54.9,0.863026,360.49,758.5988744589,1352.42,71.4132003909,0
203,1,5,Min 02,-71,58.5,-95,MCS6,48.8,0.887247,-67,65,-95,MCS7,45.7,0.848771,378.04,870.1197684211,1366.15,99.6670439759,0
204,1,5,Min 03,-67,65,-95,MCS7,56.9,0.884175,-67,65,-95,MCS7,53.4,0.842839,632.32,758.6835820896,948.58,37.8965718412,0
205,1,5,Min 04,-68,65,-95,MCS7,56.9,0.887586,-68,65,-95,MCS7,54.1,0.852755,662.8,752.6550528541,870.72,32.8491364094,0
206,1,5,Min 05,-68,65,-95,MCS7,56.9,0.890267,-65,65,-95,MCS7,55.6,0.85864,666.54,757.3617409766,840.94,32.3153306736,0
207,1,5,Min 06,-68,65,-95,MCS7,55.6,0.891806,-67,65,-95,MCS7,51.2,0.862522,662.3,756.2189777778,854.95,34.0927890756,0
208,1,5,Min 07,-68,65,-95,MCS7,56.9,0.892586,-69,65,-95,MCS7,55.6,0.858151,468.07,765.8745869565,1242.28,76.858258709,0
209,1,5,Min 08,-70,58.5,-95,MCS6,44.5,0.882844,-71,58.5,-95,MCS6,39,0.818349,438.07,993.644829932,1383.41,117.733094431,0
210,1,5,Min 09,-68,65,-95,MCS7,56.9,0.893076,-68,65,-95,MCS7,42.8,0.814653,659.01,752.4949035813,860.83,34.4168607244,0
211,2,5,Min 00,-67,65,-95,MCS7,54.3,0.897995,-67,65,-95,MCS7,52.3,0.873954,1.14,655.1305429864,878.17,213.9699993596,0.12
212,2,5,Min 01,-67,65,-95,MCS7,56.9,0.899263,-67,65,-95,MCS7,54.1,0.886016,671.07,754.3740513834,1075.89,34.4014235847,0
213,2,5,Min 02,-74,52,-95,MCS5,39.2,0.823269,-72,52,-95,MCS5,32.6,0.729206,727.51,1170.5304967603,1588.96,119.0617817968,0
214,2,5,Min 03,-68,65,-95,MCS7,57.2,0.825777,-66,65,-95,MCS7,53.7,0.881019,671.21,755.1305030181,862.94,33.2279218655,0
215,2,5,Min 04,-68,65,-95,MCS7,56.9,0.896171,-68,65,-95,MCS7,49.8,0.728042,667.54,755.0060859189,874.65,32.6293232098,0
216,2,5,Min 05,-67,65,-95,MCS7,56.9,0.89697,-67,65,-95,MCS7,47.6,0.745362,671.93,757.9975983437,845.38,32.1705101582,0
217,2,5,Min 06,-67,65,-95,MCS7,56.6,0.897151,-67,65,-95,MCS7,51.5,0.879419,619.75,758.8829534884,1104.25,45.1794544875,0
218,2,5,Min 07,-67,65,-95,MCS7,57.2,0.897434,-67,65,-95,MCS7,49.1,0.87918,671.07,828.3953828306,2130.51,226.8930462067,0
219,2,5,Min 08,-76,39,-95,MCS4,32.3,0.897721,-75,39,-95,MCS4,20.5,0.706049,705.54,1366.5082365145,1789.25,216.2635685571,0
220,2,5,Min 09,-67,65,-95,MCS7,33.7,0.896092,-68,65,-95,MCS7,54.1,0.794563,663.65,757.1521179625,847.64,34.3938766928,0
221,3,5,Min 00,-67,65,-95,MCS7,56.9,0.897573,-67,65,-95,MCS7,54.1,0.855484,1.45,641.8644375,845.92,226.4875427252,0.09
222,3,5,Min 01,-67,65,-95,MCS7,57.2,0.898226,-67,65,-95,MCS7,50.5,0.873271,684.98,760.1155645161,854.78,32.6315526741,0
223,3,5,Min 02,-78,39,-95,MCS4,22.4,0.660023,-78,39,-95,MCS4,24.5,0.67366,713.38,1910.1121290323,2576.86,256.2665125845,0
224,3,5,Min 03,-67,65,-95,MCS7,22.4,0.893458,-68,65,-95,MCS7,27.4,0.677687,643.03,785.4287576375,2280.34,160.5466054061,0
225,3,5,Min 04,-68,65,-95,MCS7,54.4,0.894001,-67,65,-95,MCS7,54.1,0.870189,675.42,756.9305714286,872.98,33.8654498399,0
226,3,5,Min 05,-68,65,-95,MCS7,55.2,0.895923,-66,65,-95,MCS7,53.2,0.872358,664.88,753.3079454927,843.41,32.9745968607,0
227,3,5,Min 06,-67,65,-95,MCS7,56.9,0.896865,-67,65,-95,MCS7,54.1,0.87409,657.89,757.0706903766,866.28,34.2152190278,0
228,3,5,Min 07,-68,65,-95,MCS7,56.9,0.897268,-65,65,-95,MCS7,54.1,0.874784,652.93,849.8694050343,3589.96,421.9793652249,0
229,3,5,Min 08,-82,19.5,-95,MCS2,16.7,0.875577,-81,19.5,-95,MCS2,16.3,0.718761,686.53,2378.8864666667,3090.49,609.8150209959,0.01
230,3,5,Min 09,-67,65,-95,MCS7,57.2,0.896493,-68,65,-95,MCS7,54.1,0.87382,454.15,754.3056712329,973.67,44.0384086956,0
231,4,5,Min 00,-68,65,-95,MCS7,54.9,0.899807,-67,65,-95,MCS7,48.9,0.830083,1.61,647.1885744681,869.66,228.9175385292,0.07
232,4,5,Min 01,-67,65,-95,MCS7,56.9,0.89802,-67,65,-95,MCS7,54.1,0.852701,628.6,753.9248344371,844.07,34.5862150541,0
233,4,5,Min 02,-84,19.5,-95,MCS2,13.8,0.70655,-85,19.5,-95,MCS2,11.4,0.697025,705.94,3006.5408541667,4398.52,729.7390407356,0.13
234,4,5,Min 03,-67,65,-95,MCS7,56.9,0.71812,-66,65,-95,MCS7,52.7,0.864376,652.05,753.1945744681,857.97,32.2913003193,0
235,4,5,Min 04,-68,65,-95,MCS7,56.9,0.897913,-65,65,-95,MCS7,54.1,0.867806,678.28,759.0916293279,851.35,32.6828567673,0
236,4,5,Min 05,-67,65,-95,MCS7,57.2,0.89848,-67,65,-95,MCS7,48.9,0.870057,643.13,754.7846993318,850.92,33.9055336682,0
237,4,5,Min 06,-68,65,-95,MCS7,56.9,0.898912,-65,65,-95,MCS7,54.9,0.87183,675.02,756.5294117647,863.07,34.0937293585,0
238,4,5,Min 07,-68,65,-95,MCS7,56.9,0.898938,-66,65,-95,MCS7,54.1,0.872883,667.4,843.9374874372,8857.06,809.5117739937,0.01
239,4,5,Min 08,-87,6.5,-95,MCS1,5.6,0.61783,-87,13,-95,MCS1,6.7,0.693472,691.26,5261.0649718574,10203.94,2209.6878960082,0.13
240,4,5,Min 09,-67,65,-95,MCS7,57.2,0.606098,-67,65,-95,MCS7,49.4,0.857348,660.33,757.9782507289,856.65,33.0612581333,0
241,5,5,Min 00,-68,65,-95,MCS7,56.9,0.893703,-67,65,-95,MCS7,48.9,0.868217,1.62,645.6389955357,989.54,223.7819754788,0.08
242,5,5,Min 01,-68,65,-95,MCS7,57.2,0.894069,-68,65,-95,MCS7,54.9,0.869602,534.15,758.9946466809,916.8,39.712707264,0
243,5,5,Min 02,-88,5.5,-95,5.5M,3.5,0.626543,-89,6.5,-95,11.0M,3.6,0.543877,561.21,8453.6323908524,14608.49,4087.9558035534,0.25
244,5,5,Min 03,-69,65,-95,MCS7,57.2,0.695463,-68,65,-95,MCS7,53.1,0.864691,652.12,760.2145020747,885.61,34.7889790858,0
245,5,5,Min 04,-69,65,-95,MCS7,57.2,0.897138,-67,65,-95,MCS7,49.1,0.867897,660.64,755.3063516484,855.31,33.6317461273,0
246,5,5,Min 05,-67,65,-95,MCS7,56.9,0.897362,-66,65,-95,MCS7,48.3,0.860608,665.27,759.5131590414,867.45,35.8825979549,0
247,5,5,Min 06,-68,65,-95,MCS7,57.2,0.897865,-67,65,-95,MCS7,51.5,0.86894,608.66,754.9556756757,840.03,34.145115521,0
248,5,5,Min 07,-68,65,-95,MCS7,54.3,0.897878,-65,65,-95,MCS7,48.3,0.870581,676.78,810.3519647355,10770.52,707.2759819259,0.01
249,5,5,Min 08,-90,5.5,-95,5.5M,2.5,0.702303,-89,5.5,-95,5.5M,2.4,0.791524,219.5,9447.7035145631,27235.86,8386.2272636543,1.28
250,5,5,Min 09,-67,65,-95,MCS7,56.9,0.897979,-67,65,-95,MCS7,54.1,0.866655,409.03,727.1839857651,1071.25,82.4266463786,0
