Test ID,AP_RSSI,AP_Tx_Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,iPerf_Throughput,Client_RSSI,Client_Tx_Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std_Dev,GoPing_Loss,Label
298,-67,65,-95,MCS7,57.2,0.904008,43.203333,-66,65,-95,MCS7,52,0.885825,150.42,696.6222199593,851.31,182.9289863488,0,0
299,-67,65,-95,MCS7,35,0.90383,12.145,-67,65,-95,MCS7,35,0.886219,1.58,201.325426009,832.17,159.6859380486,0,0
300,-68,65,-95,MCS7,57.2,0.905686,41.056333,-66,65,-95,MCS7,54.1,0.888144,686.99,755.3773047859,860.03,32.3044284857,0,0
301,-69,65,-95,MCS7,56.3,0.89695,43.910345,-67,65,-95,MCS7,54.9,0.879715,20.38,662.4282315789,856.76,204.1551612337,0.09,0
302,-67,65,-95,MCS7,56.9,0.89689,43.46,-65,65,-95,MCS7,49.5,0.882977,644.43,757.4470526316,877.51,35.6001308299,0,0
303,-68,65,-95,MCS7,56.9,0.89877,43.136667,-66,65,-95,MCS7,54.1,0.884683,238.88,461.5329662921,809.88,70.0145219525,0.03,0
304,-68,65,-95,MCS7,56.9,0.898498,43.28,-66,65,-95,MCS7,49.7,0.885225,364.35,711.364183908,839.19,89.4252888348,0,0
305,-67,65,-95,MCS7,57.2,0.898856,43.476667,-67,65,-95,MCS7,50.9,0.885436,679.24,755.1956932773,840.55,31.3808302719,0,0
306,-67,65,-95,MCS7,56.9,0.899359,43.386667,-66,65,-95,MCS7,54.1,0.884032,658.6,756.2291759465,848.19,33.7213845759,0,0
307,-67,65,-95,MCS7,57.2,0.899218,43.46,-67,65,-95,MCS7,54.1,0.883266,669.28,758.9126260504,850.58,33.1367972434,0,0
308,-66,65,-95,MCS7,56.9,0.899283,43.423333,-65,65,-95,MCS7,54.1,0.883398,361.29,733.8303648069,871.67,84.8918234338,0.03,0
309,-67,65,-95,MCS7,56.9,0.899362,43.13,-67,65,-95,MCS7,54.1,0.883671,262.56,411.6836161616,539.6,48.4291288802,0.02,0
310,-69,65,-95,MCS7,55,0.898913,43.123333,-67,65,-95,MCS7,48.3,0.882964,458.87,746.1119700748,857.13,66.5972795934,0,0
311,-67,65,-95,MCS7,56.9,0.897526,43.803448,-68,65,-95,MCS7,52.9,0.831324,1.48,646.0814945055,878.91,231.2174365929,0.08,0
312,-69,65,-95,MCS7,50.5,0.895307,43.166667,-67,65,-95,MCS7,54.1,0.864413,668.64,759.8615505618,858.36,35.6063115359,0,0
313,-67,65,-95,MCS7,54.4,0.896384,42.94,-67,65,-95,MCS7,52.7,0.87468,298.44,419.3781380753,571.92,46.9228755812,0.02,0
314,-67,65,-95,MCS7,57.2,0.89633,43.11,-67,65,-95,MCS7,54.1,0.877265,368.56,688.5044558522,861.46,130.961506651,0,0
315,-68,65,-95,MCS7,56.6,0.895985,43.25,-68,65,-95,MCS7,54.1,0.877573,679.54,756.98234714,882.03,31.8759354338,0,0
316,-68,65,-95,MCS7,56.9,0.896296,43.48,-68,65,-95,MCS7,54.1,0.878382,672.63,755.1806557377,906.51,33.4324201761,0,0
317,-67,65,-95,MCS7,56.9,0.896997,43.21,-65,65,-95,MCS7,54.1,0.878408,636.91,762.4684598214,853.86,33.6227510877,0,0
318,-67,65,-95,MCS7,56.6,0.89637,43.076667,-68,65,-95,MCS7,52.7,0.87834,247.07,714.281622807,863.41,139.1497042488,0.05,0
319,-69,65,-95,MCS7,56.9,0.896273,43.1,-66,65,-95,MCS7,54.1,0.878615,259.49,355.6456363636,537.62,40.9835293752,0.01,0
320,-68,65,-95,MCS7,56.9,0.896485,43.4,-67,65,-95,MCS7,54.1,0.87852,545.14,748.0557300275,921.81,43.2594959171,0,0
321,-68,65,-95,MCS7,54.7,0.890904,43.906897,-67,65,-95,MCS7,54.9,0.819813,1.56,637.3460171306,866.35,233.8763306651,0.12,0
322,-68,65,-95,MCS7,57.2,0.895988,43.5,-65,65,-95,MCS7,53.4,0.874949,667.13,754.4696936543,853.81,34.4359993546,0,0
323,-69,65,-95,MCS7,56.9,0.898382,43.263333,-67,65,-95,MCS7,54.1,0.877586,151.66,290.9142731278,761.1,61.2484234214,0.04,0
324,-67,65,-95,MCS7,56.9,0.898542,43.27,-68,65,-95,MCS7,54.1,0.878925,199.41,652.2493181818,844.78,197.7311942259,0,0
325,-67,65,-95,MCS7,56.9,0.8989,43.413333,-68,65,-95,MCS7,54.1,0.880087,660.88,756.3415835141,993.67,35.2813148775,0,0
326,-68,65,-95,MCS7,56.9,0.89891,43.353333,-68,65,-95,MCS7,48.9,0.87986,666.35,758.4018580376,853.5,32.1555589874,0,0
327,-67,65,-95,MCS7,56.9,0.898609,43.46,-68,65,-95,MCS7,49.4,0.879668,672.9,757.3319612069,852.47,33.4764744246,0,0
328,-68,65,-95,MCS7,56.9,0.898926,43.556667,-68,65,-95,MCS7,54.1,0.880639,96.59,711.5559751037,842.71,148.2353603611,0.07,0
329,-67,65,-95,MCS7,56.9,0.899246,43.296667,-67,65,-95,MCS7,54.1,0.880951,111.04,267.3033695652,368.05,35.2862861857,0,0
330,-67,65,-95,MCS7,56.9,0.899127,43.28,-66,65,-95,MCS7,54.1,0.881326,252.59,688.6788743456,857.54,155.4032777254,0,0
331,-67,65,-95,MCS7,56.6,0.896284,44.089655,-67,65,-95,MCS7,51.5,0.854809,18.3,652.4756521739,850.16,203.6750132686,0.09,0
332,-68,65,-95,MCS7,56.9,0.901857,43.59,-66,65,-95,MCS7,50.9,0.877906,659.93,753.4745353982,874.89,34.7426551289,0,0
333,-67,65,-95,MCS7,52.9,0.900911,38.773333,-67,65,-95,MCS7,44.4,0.877712,1.5,59.8394642857,493.84,52.0286255274,0,0
334,-68,65,-95,MCS7,56.9,0.901038,43.106667,-67,65,-95,MCS7,51.7,0.880885,507.5,739.8535745614,870.42,49.4872820113,0,0
335,-69,65,-95,MCS7,54,0.900669,43.18,-65,65,-95,MCS7,54.1,0.880898,671.93,756.7753982301,866.66,34.5195800545,0,0
336,-68,65,-95,MCS7,56.9,0.900003,43.39,-68,65,-95,MCS7,48.9,0.880123,663.12,756.1513608247,844.83,33.758678081,0,0
337,-67,65,-95,MCS7,55.9,0.89971,43.376667,-67,65,-95,MCS7,50.9,0.880129,673.89,754.253697479,838.97,33.0002758994,0,0
338,-68,65,-95,MCS7,56.7,0.899772,43.696667,-66,65,-95,MCS7,55.6,0.880289,52.11,689.1383488372,843.68,198.420697109,0.02,0
339,-68,65,-95,MCS7,35,0.900301,29.773333,-67,65,-95,MCS7,35,0.880346,1.44,125.5066028708,784.04,197.2555363956,0,0
340,-66,65,-95,MCS7,56.9,0.90174,42.47,-66,65,-95,MCS7,50.9,0.881054,672.55,755.8376781003,840.87,32.8614139862,0,0
341,-67,65,-95,MCS7,56.9,0.897196,43.965517,-67,65,-95,MCS7,50.9,0.882718,1.63,678.3185350318,851.75,185.0849024085,0.03,0
342,-68,65,-95,MCS7,57.2,0.89952,43.55,-67,65,-95,MCS7,54.9,0.866588,429.68,756.8649358974,1035.11,51.1258424522,0,0
343,-67,65,-95,MCS7,35,0.901475,21.13,-67,65,-95,MCS7,35,0.870604,1.54,86.8218930958,755.89,71.4312909183,0,0
344,-67,65,-95,MCS7,56.9,0.911389,41.553333,-66,65,-95,MCS7,50.9,0.886903,292.29,742.0543418468,858.16,57.1517490086,0,0
345,-67,65,-95,MCS7,56.9,0.908574,43.573333,-66,65,-95,MCS7,54.1,0.886204,666.65,752.3853473684,848.05,34.5282938386,0,0
346,-67,65,-95,MCS7,56.9,0.907258,43.506667,-67,65,-95,MCS7,54.1,0.885936,666.98,751.8705217391,834.66,31.4079990806,0,0
347,-69,65,-95,MCS7,56.9,0.906472,43.586667,-65,65,-95,MCS7,52.6,0.885875,678.81,754.0179333333,856.26,31.5757272381,0,0
348,-68,65,-95,MCS7,56.9,0.905683,43.356667,-67,65,-95,MCS7,48,0.8849,150.49,700.6759465021,849.86,176.7787785194,0,0
349,-67,65,-95,MCS7,35,0.905416,12.143333,-67,65,-95,MCS7,35,0.884736,1.35,189.4348033126,844.72,144.7422292064,0.01,0
350,-66,65,-95,MCS7,35,0.906852,41.102,-67,65,-95,MCS7,52.6,0.887123,550.61,752.0451231527,843.52,34.7220257371,0,0
351,-66,65,-95,MCS7,57.2,0.882077,43.87931,-67,65,-95,MCS7,54.1,0.851979,1.4,645.4405769231,848.09,225.7902637109,0.12,0
352,-67,65,-95,MCS7,54.7,0.896738,43.23,-67,65,-95,MCS7,54.3,0.869139,656.83,756.5875890985,837.83,32.2352008892,0,0
353,-67,65,-95,MCS7,56.9,0.896792,43.21,-67,65,-95,MCS7,54.1,0.874386,158.91,447.1184468085,695.12,55.2582663878,0.05,0
354,-67,65,-95,MCS7,54.6,0.897271,43.41,-65,65,-95,MCS7,52,0.879975,357.55,692.7938053097,886.62,129.5628468119,0,0
355,-68,65,-95,MCS7,54.1,0.897969,43.46,-67,65,-95,MCS7,49.4,0.881,663.23,758.1652978723,845.59,34.6367459932,0,0
356,-68,65,-95,MCS7,56.9,0.897859,43.343333,-67,65,-95,MCS7,54.1,0.88124,674.1,756.9204100228,864.84,33.1988949142,0,0
357,-67,65,-95,MCS7,56.9,0.897928,43.586667,-66,65,-95,MCS7,54.1,0.881063,647.92,753.0853448276,837.42,31.2097654487,0,0
358,-67,65,-95,MCS7,56.9,0.898481,43.393333,-65,65,-95,MCS7,54.1,0.88145,279.64,730.6753894737,852.27,87.2738472553,0.02,0
359,-68,65,-95,MCS7,57.2,0.898482,43.2,-67,65,-95,MCS7,52.9,0.882491,266.41,466.5940091116,673.77,54.6760764136,0.01,0
360,-67,65,-95,MCS7,56.9,0.898343,43.316667,-68,65,-95,MCS7,54.1,0.882145,642.23,758.9910054348,872.32,35.2523043777,0,0
361,-67,65,-95,MCS7,57.2,0.889052,43.7,-67,65,-95,MCS7,54.9,0.873069,1.55,657.1389342404,836.32,204.8884522653,0.09,0
362,-69,65,-95,MCS7,54.1,0.893702,43.356667,-66,65,-95,MCS7,54.1,0.880317,445.76,749.774612069,854.43,50.1121701426,0,0
363,-67,65,-95,MCS7,56.9,0.895839,42.976667,-67,65,-95,MCS7,51.5,0.883178,273.1,415.2000429185,544.28,55.3165252843,0.01,0
364,-68,65,-95,MCS7,57.2,0.896259,43.32,-67,65,-95,MCS7,50.8,0.88133,357.25,704.6320886076,851.86,122.2265067797,0,0
365,-67,65,-95,MCS7,56.9,0.896226,43.37,-66,65,-95,MCS7,54.1,0.881147,651.18,757.3642982456,872.33,34.6078450433,0,0
366,-67,65,-95,MCS7,56.9,0.896985,43.533333,-67,65,-95,MCS7,54.1,0.882033,668.76,754.332244898,882.95,31.874345891,0,0
367,-67,65,-95,MCS7,57.2,0.897669,43.503333,-67,65,-95,MCS7,52.9,0.882164,665.52,755.8325211864,828.31,32.9456527153,0,0
368,-68,65,-95,MCS7,53.8,0.897978,43.48,-67,65,-95,MCS7,51.5,0.882044,233.51,705.9106136364,836.77,142.2188231687,0.06,0
369,-68,65,-95,MCS7,56.9,0.898004,43.343333,-68,65,-95,MCS7,50.5,0.882696,223.03,348.9381818182,498.01,39.3620251219,0,0
370,-67,65,-95,MCS7,56.1,0.898463,43.653333,-67,65,-95,MCS7,53.7,0.883164,492.87,729.074386921,869.57,58.6851375295,0,0
371,-67,65,-95,MCS7,56.9,0.896586,43.8,-67,65,-95,MCS7,54.9,0.861986,1.56,650.4672972973,847.08,224.5027910637,0.06,0
372,-67,65,-95,MCS7,56.9,0.897667,43.636667,-68,65,-95,MCS7,54.1,0.859745,340.78,751.619688196,843.49,44.3711020084,0.01,0
373,-67,65,-95,MCS7,57.2,0.898952,42.9,-67,65,-95,MCS7,50.8,0.864857,168.74,281.4069978858,359.86,35.8457431884,0.02,0
374,-68,65,-95,MCS7,57.2,0.898272,43.386667,-67,65,-95,MCS7,50.3,0.869415,262.34,683.605,847,145.1202826427,0,0
375,-69,65,-95,MCS7,56.9,0.898703,43.486667,-67,65,-95,MCS7,54.1,0.872043,641.34,754.4426122449,852.95,34.0170876465,0,0
376,-69,65,-95,MCS7,56.9,0.898276,43.31,-65,65,-95,MCS7,54.9,0.874344,678.92,756.4913684211,877,35.4783918466,0,0
377,-67,65,-95,MCS7,56.9,0.898355,43.6,-65,65,-95,MCS7,54.1,0.875827,656.51,752.3008067941,846.63,34.2095744502,0,0
378,-66,65,-95,MCS7,55.9,0.898632,43.37,-66,65,-95,MCS7,52.9,0.877772,31.86,715.2385115304,869.84,147.7410033035,0.04,0
379,-68,65,-95,MCS7,56.9,0.898614,43.136667,-65,65,-95,MCS7,51.4,0.877806,187.77,277.5651124744,373.52,29.1384485672,0,0
380,-67,65,-95,MCS7,56.9,0.898293,43.25,-67,65,-95,MCS7,52.4,0.878263,248.9,686.2542779292,845.63,159.304197541,0,0
381,-68,65,-95,MCS7,57.2,0.859914,43.865517,-67,65,-95,MCS7,54.1,0.888742,3.12,631.1052369668,853.17,238.8358671241,0.1,0
382,-68,65,-95,MCS7,56.9,0.896533,43.28,-68,65,-95,MCS7,52.9,0.884,682.01,759.001069869,860.66,33.386986717,0,0
383,-67,65,-95,MCS7,51.4,0.897402,38.906667,-67,65,-95,MCS7,43.6,0.883896,1.62,67.5957084189,751.56,86.9446290592,0.04,0
384,-67,65,-95,MCS7,56.7,0.897851,42.693333,-66,65,-95,MCS7,48.3,0.883947,323.53,741.558389662,855.72,63.1656959931,0,0
385,-68,65,-95,MCS7,56.9,0.897809,43.523333,-68,65,-95,MCS7,54.1,0.882518,648.84,754.5246547884,843.99,33.8904911923,0,0
386,-67,65,-95,MCS7,56.9,0.898189,43.513333,-67,65,-95,MCS7,54.1,0.882543,682.9,754.1715081207,846.28,32.2320973644,0,0
387,-67,65,-95,MCS7,57.2,0.898482,43.533333,-67,65,-95,MCS7,54.9,0.881622,674.6,757.7055532359,849.77,31.9006265352,0,0
388,-69,65,-95,MCS7,56.9,0.899057,43.5,-67,65,-95,MCS7,54.9,0.881665,51.99,695.8295414847,854.19,188.8650261823,0.04,0
389,-68,65,-95,MCS7,35,0.899182,30.08,-67,65,-95,MCS7,35,0.881645,1.4,112.1595238095,739.99,176.6881813231,0,0
390,-68,65,-95,MCS7,57.2,0.901025,42.203333,-67,65,-95,MCS7,54.1,0.882507,678.11,753.8675263158,850.81,33.4054420667,0,0
391,-68,65,-95,MCS7,56.9,0.904734,44.110345,-67,65,-95,MCS7,54.9,0.844819,1.5,647.4966457023,891.67,222.6386316995,0.09,0
392,-68,65,-95,MCS7,56.6,0.903369,43.426667,-67,65,-95,MCS7,54.1,0.848969,76.4,748.1136051502,850.17,65.5759853842,0.01,0
393,-67,65,-95,MCS7,35,0.902875,20.12,-67,65,-95,MCS7,35,0.868777,1.62,80.8956,493.36,38.7932574853,0.01,0
394,-67,65,-95,MCS7,57.2,0.91211,42.533333,-65,65,-95,MCS7,54.1,0.88752,572.98,747.2147071584,845.98,44.5443922787,0,0
395,-66,65,-95,MCS7,55,0.909081,43.356667,-67,65,-95,MCS7,54.1,0.886475,675.43,757.8114853556,848.77,33.1095647371,0,0
396,-67,65,-95,MCS7,53.1,0.906825,43.41,-67,65,-95,MCS7,54.1,0.884835,673.02,758.7814164905,876.85,34.8087967227,0,0
397,-68,65,-95,MCS7,56.9,0.905694,43.426667,-67,65,-95,MCS7,54.1,0.883998,677.22,758.1850209205,849.05,32.2171912433,0,0
398,-67,65,-95,MCS7,56.9,0.904765,43.303333,-67,65,-95,MCS7,50,0.883662,150.58,685.5055384615,844.88,195.2621946756,0,0
399,-67,65,-95,MCS7,35,0.904711,10.682333,-67,65,-95,MCS7,35,0.883835,1.54,202.9484143763,808.5,167.3131423303,0,0
400,-67,65,-95,MCS7,57.2,0.905933,42.286667,-66,65,-95,MCS7,49.5,0.886723,637.66,761.4532865169,863.82,33.4602023395,0,0
401,-68,65,-95,MCS7,56.9,0.894734,43.755172,-67,65,-95,MCS7,52.9,0.8806,1.45,652.2489937107,891.03,214.3492298609,0.12,0
402,-67,65,-95,MCS7,56.9,0.899835,43.626667,-67,65,-95,MCS7,48.9,0.855786,542.6,750.5467634855,948.91,43.9249891389,0,0
403,-67,65,-95,MCS7,54.9,0.902374,43.02,-66,65,-95,MCS7,48.9,0.861847,153.69,402.55408,755.71,68.2808785602,0.06,0
404,-67,65,-95,MCS7,56.9,0.901435,43.42,-66,65,-95,MCS7,54.1,0.862092,407.77,696.8747589099,850.13,113.6493907591,0,0
405,-67,65,-95,MCS7,55.6,0.900511,43.243333,-67,65,-95,MCS7,54.1,0.866502,658.97,755.7534151786,876.36,33.9626674596,0,0
406,-68,65,-95,MCS7,56.9,0.899838,43.18,-67,65,-95,MCS7,52.9,0.868081,670.63,755.8711946903,836.22,32.3996995218,0,0
407,-67,65,-95,MCS7,56.9,0.900088,43.52,-67,65,-95,MCS7,54.9,0.870265,662.14,756.3527835052,851.64,34.7189292005,0,0
408,-67,65,-95,MCS7,52.1,0.90007,43.283333,-65,65,-95,MCS7,50,0.872849,207.3,728.0311,855.85,100.0715673415,0.03,0
409,-68,65,-95,MCS7,55.2,0.899516,43.1,-68,65,-95,MCS7,50.6,0.873429,294.93,420.0413157895,549.79,44.8756549043,0.01,0
410,-67,65,-95,MCS7,55.9,0.899322,43.16,-65,65,-95,MCS7,54.1,0.87493,467.69,722.6524456522,833.81,85.079418758,0,0
411,-66,65,-95,MCS7,56.9,0.89168,43.727586,-66,65,-95,MCS7,54.1,0.848847,1.5,638.7917299578,909.56,236.2367052218,0.06,0
412,-67,65,-95,MCS7,56.9,0.893861,43.173333,-67,65,-95,MCS7,52.3,0.881112,675.68,757.2404615385,840.28,32.2591180944,0,0
413,-68,65,-95,MCS7,56.9,0.895135,42.916667,-68,65,-95,MCS7,52.9,0.884751,167.91,419.8246218487,816.71,77.3362917654,0.06,0
414,-68,65,-95,MCS7,55.2,0.895002,43.096667,-67,65,-95,MCS7,54.1,0.885188,337.61,693.0419594595,875.53,131.6448870006,0,0
415,-67,65,-95,MCS7,56.9,0.895588,43.43,-67,65,-95,MCS7,51.7,0.885307,671.01,755.2687068966,839.1,32.0274242273,0,0
416,-67,65,-95,MCS7,57.2,0.89638,43.703333,-66,65,-95,MCS7,52.9,0.885224,673.39,752.2437316562,856.5,32.8300691018,0,0
417,-68,65,-95,MCS7,55.9,0.897995,43.503333,-68,65,-95,MCS7,52.9,0.886448,661.47,753.7426262626,847.55,34.5682831914,0,0
418,-67,65,-95,MCS7,57.2,0.897823,43.126667,-66,65,-95,MCS7,54.1,0.885567,144.63,733.9348360656,855.52,114.2805812426,0.06,0
419,-68,65,-95,MCS7,52,0.897349,42.93,-65,65,-95,MCS7,52.9,0.885164,250.06,331.5809302326,431.92,33.6837942035,0,0
420,-68,65,-95,MCS7,57.2,0.897283,43.303333,-67,65,-95,MCS7,53.2,0.884836,314.04,686.1708866995,844.04,146.0394155554,0,0
421,-67,65,-95,MCS7,56.9,0.904243,44.189655,-67,65,-95,MCS7,54.1,0.850546,9.98,676.3440384615,868.77,178.5242296638,0.06,0
422,-67,65,-95,MCS7,56.9,0.899158,43.143333,-68,65,-95,MCS7,54.1,0.870527,660.6,758.3601284797,861.47,34.8007381531,0,0
423,-67,65,-95,MCS7,56.7,0.898926,43.24,-67,65,-95,MCS7,49.8,0.875185,142.41,289.9639285714,791.93,69.998448664,0.07,0
424,-67,65,-95,MCS7,55,0.898416,43.233333,-67,65,-95,MCS7,50.3,0.879606,173.58,647.4715625,868.57,210.7443986689,0,0
425,-66,65,-95,MCS7,56.9,0.898392,43.56,-65,65,-95,MCS7,54.1,0.879338,647.95,755.2772258065,848,31.8491086056,0,0
426,-69,65,-95,MCS7,56.9,0.89854,43.21,-67,65,-95,MCS7,54.1,0.879757,680.73,757.7150630252,844.91,32.8795221671,0,0
427,-67,65,-95,MCS7,57.2,0.898283,43.343333,-67,65,-95,MCS7,52.9,0.88028,665.02,755.8932537961,853.62,34.3067631854,0,0
428,-67,65,-95,MCS7,56.9,0.897797,43.176667,-67,65,-95,MCS7,54.9,0.880877,123.63,729.205361991,849.72,129.9205730697,0.01,0
429,-67,65,-95,MCS7,56.9,0.897673,43.073333,-66,65,-95,MCS7,52.9,0.880805,162.88,269.2884439834,356.2,37.3755242024,0,0
430,-67,65,-95,MCS7,56.9,0.897434,43.176667,-67,65,-95,MCS7,54.1,0.880937,315.74,695.3996029777,843,134.4398988039,0,0
431,-68,65,-95,MCS7,56.9,0.89491,43.862069,-67,65,-95,MCS7,48.9,0.87509,1.49,644.6985350318,976.81,227.2952525842,0.09,0
432,-67,65,-95,MCS7,56.9,0.899167,43.393333,-68,65,-95,MCS7,54.9,0.88215,645.24,756.1226838966,869.86,35.5597928138,0,0
433,-67,65,-95,MCS7,51.4,0.899484,38.61,-67,65,-95,MCS7,44.4,0.882278,1.62,61.2945598194,444.58,61.0661442667,0.01,0
434,-69,65,-95,MCS7,57.2,0.89977,43.11,-67,65,-95,MCS7,54.1,0.88416,514.62,739.2846532438,821.35,49.5576070892,0,0
435,-67,65,-95,MCS7,57.2,0.899633,43.52,-67,65,-95,MCS7,54.1,0.88347,637.19,754.1630066815,839.89,33.3022651651,0,0
436,-67,65,-95,MCS7,56.7,0.899483,43.443333,-67,65,-95,MCS7,52.9,0.882884,667.75,756.1122379032,846.47,33.0824959265,0,0
437,-68,65,-95,MCS7,56.9,0.899045,43.273333,-65,65,-95,MCS7,54.1,0.882852,670,756.6919917012,870.31,35.0191844603,0,0
438,-68,65,-95,MCS7,56.6,0.899036,43.373333,-67,65,-95,MCS7,54.1,0.881665,51.78,673.5958405172,847.41,225.8605664714,0.02,0
439,-68,65,-95,MCS7,35,0.898821,29.383333,-67,65,-95,MCS7,34,0.881853,51.58,109.7005700713,783.46,167.0200853814,0,0
440,-67,65,-95,MCS7,56.9,0.900271,42.746667,-66,65,-95,MCS7,52.4,0.88242,678.53,753.4622253521,842.08,32.5109300945,0,0
441,-68,65,-95,MCS7,56.9,0.894909,43.924138,-67,65,-95,MCS7,48.3,0.862329,1.17,625.4906912442,854.06,241.6069376245,0.11,0
442,-67,65,-95,MCS7,56.9,0.896419,43.446667,-67,65,-95,MCS7,54.9,0.872661,667.34,754.8103448276,855.99,33.7145977652,0,0
443,-67,65,-95,MCS7,35,0.898233,20.45,-67,65,-95,MCS7,35,0.880273,1.57,89.6255507559,767.21,81.5548191185,0,0
444,-67,65,-95,MCS7,57.2,0.91052,42.44,-66,65,-95,MCS7,49.4,0.891032,287.38,738.4727331887,868.29,58.0326347105,0,0
445,-67,65,-95,MCS7,57.2,0.908398,43.493333,-67,65,-95,MCS7,52.9,0.890031,667.16,753.048608137,868.08,32.8855356863,0,0
446,-67,65,-95,MCS7,56.9,0.907481,43.636667,-67,65,-95,MCS7,54.9,0.889891,424.52,755.5212164948,1048.66,46.5687167856,0,0
447,-68,65,-95,MCS7,56.9,0.90557,43.326667,-65,65,-95,MCS7,54.9,0.889413,665.74,753.8187831858,849.62,35.4525271648,0,0
448,-67,65,-95,MCS7,56.9,0.904955,43.513333,-66,65,-95,MCS7,54.1,0.888524,150.64,698.0253617021,859.18,176.4753710361,0,0
